,card,merchant,category,amount,transaction_date
6371-2256-6392-1469#2023-03-20T15:32:58.028Z,6371-2256-6392-1469,Yundt LLC,Groceries,2628.00,2023-03-20T15:32:58.028Z
6767-7006-2673-8607-35#2023-03-18T14:53:17.640Z,6767-7006-2673-8607-35,Towne and Sons,Online Retail,2555.00,2023-03-18T14:53:17.640Z
3573-5866-0631-6221#2023-07-05T12:48:08.549Z,3573-5866-0631-6221,Wintheiser LLC,Groceries,2829.00,2023-07-05T12:48:08.549Z
5438-0611-7520-2988#2023-08-02T22:21:06.799Z,5438-0611-7520-2988,"Gerhold, Moen and Nitzsche",Online Retail,1702.00,2023-08-02T22:21:06.799Z
3529-1451-8614-4852#2023-10-12T10:03:23.534Z,3529-1451-8614-4852,"Hodkiewicz, Cronin and Kuhn",Groceries,1035.00,2023-10-12T10:03:23.534Z
3574-3426-3462-6721#2023-04-29T15:48:20.162Z,3574-3426-3462-6721,Lindgren Inc,Transportation,51.00,2023-04-29T15:48:20.162Z
3429-084772-29901#2023-09-26T03:29:29.923Z,3429-084772-29901,Ebert Group,Transportation,2370.00,2023-09-26T03:29:29.923Z
6473-1639-3942-2839#2023-02-12T03:56:07.032Z,6473-1639-3942-2839,Johns - VonRueden,Transportation,2653.00,2023-02-12T03:56:07.032Z
3554-9912-2728-9463#2023-10-22T18:14:02.905Z,3554-9912-2728-9463,Moen - Conroy,Food & Drink,1715.00,2023-10-22T18:14:02.905Z
6771-8906-3557-0425#2023-03-15T20:22:14.630Z,6771-8906-3557-0425,Becker and Sons,Fashion,100.00,2023-03-15T20:22:14.630Z
5038143084284465#2023-01-29T11:06:35.777Z,5038143084284465,"Gutmann, Zulauf and McKenzie",Transportation,1993.00,2023-01-29T11:06:35.777Z
4674543358715#2023-03-27T16:51:30.591Z,4674543358715,Zieme - Swaniawski,Food & Drink,2281.00,2023-03-27T16:51:30.591Z
6476-0834-8648-6069#2023-02-10T23:38:03.677Z,6476-0834-8648-6069,Kihn - Wuckert,Fashion,2012.00,2023-02-10T23:38:03.677Z
5018-0508-8847-6300#2023-10-27T08:25:30.472Z,5018-0508-8847-6300,Kozey LLC,Transportation,2931.00,2023-10-27T08:25:30.472Z
6767-4340-4140-1846#2023-04-09T06:28:35.952Z,6767-4340-4140-1846,Hermann - Rosenbaum,Fashion,27.00,2023-04-09T06:28:35.952Z
6771367015130242501#2023-07-22T22:58:16.053Z,6771367015130242501,"Graham, Moore and Homenick",Groceries,2440.00,2023-07-22T22:58:16.053Z
6383-3620-3042-0275#2023-03-22T17:39:42.640Z,6383-3620-3042-0275,"Jast, Frami and Quitzon",Fashion,543.00,2023-03-22T17:39:42.640Z
3608-698114-0178#2023-03-15T23:03:04.107Z,3608-698114-0178,Champlin LLC,Groceries,2878.00,2023-03-15T23:03:04.107Z
5038511622371375559#2023-11-05T04:02:20.132Z,5038511622371375559,Cartwright - Schmitt,Fashion,1150.00,2023-11-05T04:02:20.132Z
6462-6297-3200-9912-9529#2023-08-25T09:55:19.469Z,6462-6297-3200-9912-9529,"Thiel, Bergstrom and Hilpert",Food & Drink,369.00,2023-08-25T09:55:19.469Z
5038224364288726388#2023-12-10T21:28:06.423Z,5038224364288726388,"Predovic, Christiansen and Howe",Food & Drink,366.00,2023-12-10T21:28:06.423Z
6375-3324-2704-2974#2023-11-03T21:41:06.929Z,6375-3324-2704-2974,Osinski LLC,Online Retail,175.00,2023-11-03T21:41:06.929Z
5383-1020-5382-1799#2023-12-23T18:46:11.607Z,5383-1020-5382-1799,Connelly Inc,Online Retail,2244.00,2023-12-23T18:46:11.607Z
677185426600835994#2023-09-04T09:10:24.682Z,677185426600835994,"Rippin, Kulas and Windler",Online Retail,192.00,2023-09-04T09:10:24.682Z
3563-4361-4126-2872#2023-02-27T16:56:55.858Z,3563-4361-4126-2872,Schaefer - McDermott,Fashion,786.00,2023-02-27T16:56:55.858Z
3499-509140-31584#2023-11-07T00:41:41.672Z,3499-509140-31584,Greenfelder LLC,Transportation,2036.00,2023-11-07T00:41:41.672Z
6762460704782769227#2023-10-12T13:52:43.253Z,6762460704782769227,Davis and Sons,Fashion,2931.00,2023-10-12T13:52:43.253Z
3477-134443-81446#2023-03-18T06:42:50.886Z,3477-134443-81446,Hoeger Inc,Groceries,567.00,2023-03-18T06:42:50.886Z
5507-5942-8349-9662#2023-02-03T13:14:19.209Z,5507-5942-8349-9662,Murazik - Price,Groceries,1802.00,2023-02-03T13:14:19.209Z
6706398338802400#2023-03-10T11:57:53.511Z,6706398338802400,"Connelly, Smitham and Bernier",Groceries,2633.00,2023-03-10T11:57:53.511Z
3551-7066-9167-6968#2023-10-02T20:50:14.240Z,3551-7066-9167-6968,Buckridge LLC,Fashion,2331.00,2023-10-02T20:50:14.240Z
675949331484255155#2023-08-25T07:41:26.630Z,675949331484255155,"Wisozk, McLaughlin and Upton",Groceries,1262.00,2023-08-25T07:41:26.630Z
6759-9432-2769-4119-169#2023-12-24T03:03:05.066Z,6759-9432-2769-4119-169,Auer - Funk,Fashion,901.00,2023-12-24T03:03:05.066Z
630448469154608799#2023-05-27T23:06:22.199Z,630448469154608799,Schuster - Howell,Online Retail,1854.00,2023-05-27T23:06:22.199Z
5893357801787869323#2023-11-09T00:18:24.564Z,5893357801787869323,Rice - Parker,Transportation,2739.00,2023-11-09T00:18:24.564Z
6304-4196-3892-1850#2023-07-10T05:15:22.342Z,6304-4196-3892-1850,Cole - O'Kon,Groceries,2845.00,2023-07-10T05:15:22.342Z
6450-7366-3252-6126#2023-07-02T23:49:09.873Z,6450-7366-3252-6126,"Mosciski, Kuphal and Bergnaum",Transportation,402.00,2023-07-02T23:49:09.873Z
6767-2907-4864-1083-648#2023-03-15T08:11:05.993Z,6767-2907-4864-1083-648,MacGyver Group,Transportation,974.00,2023-03-15T08:11:05.993Z
6759-3474-8277-8441#2023-08-07T16:00:38.920Z,6759-3474-8277-8441,Cassin - Crooks,Food & Drink,1026.00,2023-08-07T16:00:38.920Z
6384-4597-6168-7145#2023-01-17T10:09:51.750Z,6384-4597-6168-7145,"Aufderhar, Powlowski and Labadie",Online Retail,228.00,2023-01-17T10:09:51.750Z
3610-410322-6153#2023-04-16T01:05:04.226Z,3610-410322-6153,"Hilll, Hickle and Emard",Transportation,807.00,2023-04-16T01:05:04.226Z
6767-9594-3552-8588-10#2023-03-10T10:42:36.106Z,6767-9594-3552-8588-10,Raynor LLC,Groceries,2337.00,2023-03-10T10:42:36.106Z
6376-0415-8058-7787#2023-10-06T02:30:18.243Z,6376-0415-8058-7787,Conn - Hammes,Online Retail,12.00,2023-10-06T02:30:18.243Z
6525-6272-6822-7689-5311#2023-12-27T13:34:18.002Z,6525-6272-6822-7689-5311,Wolf Inc,Fashion,1457.00,2023-12-27T13:34:18.002Z
6397-1097-1823-8402#2023-05-14T07:40:08.188Z,6397-1097-1823-8402,Lynch - Kshlerin,Groceries,203.00,2023-05-14T07:40:08.188Z
6767-2983-2289-9255-40#2023-06-08T21:47:33.099Z,6767-2983-2289-9255-40,"Parisian, Stark and Abbott",Online Retail,279.00,2023-06-08T21:47:33.099Z
6476-0834-8648-6069#2023-10-19T04:11:15.943Z,6476-0834-8648-6069,Keeling Group,Groceries,1308.00,2023-10-19T04:11:15.943Z
6759-2895-5794-3465-70#2023-02-19T21:17:22.149Z,6759-2895-5794-3465-70,"Wolf, Quitzon and Ullrich",Groceries,43.00,2023-02-19T21:17:22.149Z
3746-763374-47945#2023-12-17T05:39:53.913Z,3746-763374-47945,Wyman - Orn,Food & Drink,2138.00,2023-12-17T05:39:53.913Z
6385-8794-7041-5778#2023-09-09T10:58:56.962Z,6385-8794-7041-5778,Wintheiser - Schimmel,Transportation,645.00,2023-09-09T10:58:56.962Z
4674543358715#2023-01-12T19:39:39.304Z,4674543358715,"Rippin, Ziemann and Stracke",Food & Drink,709.00,2023-01-12T19:39:39.304Z
3528-9537-1220-8682#2023-05-09T17:07:02.427Z,3528-9537-1220-8682,Ledner Inc,Online Retail,1147.00,2023-05-09T17:07:02.427Z
6759-1225-6481-4272-962#2023-12-08T11:21:39.160Z,6759-1225-6481-4272-962,Conroy - McGlynn,Fashion,2440.00,2023-12-08T11:21:39.160Z
676304774391849577#2023-03-20T03:55:07.608Z,676304774391849577,Kuhic - Price,Groceries,2581.00,2023-03-20T03:55:07.608Z
6759-2366-0438-9362-33#2023-07-13T09:07:53.717Z,6759-2366-0438-9362-33,"Morar, Rice and Mann",Food & Drink,1668.00,2023-07-13T09:07:53.717Z
3488-333882-47079#2023-02-26T16:38:20.137Z,3488-333882-47079,Nienow LLC,Food & Drink,256.00,2023-02-26T16:38:20.137Z
6759-2481-7177-6912#2023-11-26T02:19:02.018Z,6759-2481-7177-6912,"Koepp, Lind and Bode",Fashion,98.00,2023-11-26T02:19:02.018Z
6759-1225-6481-4272-962#2023-02-01T01:25:20.277Z,6759-1225-6481-4272-962,Hyatt LLC,Online Retail,622.00,2023-02-01T01:25:20.277Z
6767-1202-7876-5009#2023-09-21T06:47:32.298Z,6767-1202-7876-5009,"Wolf, Dach and Brakus",Online Retail,2840.00,2023-09-21T06:47:32.298Z
3742-269833-47864#2023-11-04T14:41:08.587Z,3742-269833-47864,Willms - Bartell,Online Retail,917.00,2023-11-04T14:41:08.587Z
6767-3870-0255-3378-50#2023-09-15T12:39:27.773Z,6767-3870-0255-3378-50,"Murphy, Hoppe and Lebsack",Fashion,2063.00,2023-09-15T12:39:27.773Z
67596027907644985#2023-12-13T15:55:10.407Z,67596027907644985,Schaefer LLC,Groceries,2031.00,2023-12-13T15:55:10.407Z
3587-2311-1561-1093#2023-10-31T07:10:53.664Z,3587-2311-1561-1093,Schaefer Group,Fashion,586.00,2023-10-31T07:10:53.664Z
6767-4587-9593-3175#2023-11-17T19:26:34.843Z,6767-4587-9593-3175,Murray - Pacocha,Online Retail,948.00,2023-11-17T19:26:34.843Z
3528-4795-0666-7867#2023-09-24T18:23:25.529Z,3528-4795-0666-7867,Runolfsson Group,Transportation,1358.00,2023-09-24T18:23:25.529Z
6386-9164-0114-7960#2023-08-07T09:58:09.793Z,6386-9164-0114-7960,Dickens - Oberbrunner,Fashion,841.00,2023-08-07T09:58:09.793Z
6759-9088-3698-9306-225#2023-05-16T08:28:22.098Z,6759-9088-3698-9306-225,"Weber, Dickinson and Kihn",Food & Drink,869.00,2023-05-16T08:28:22.098Z
3798-768837-47434#2023-03-09T16:25:21.157Z,3798-768837-47434,Baumbach and Sons,Groceries,2910.00,2023-03-09T16:25:21.157Z
630448469154608799#2023-05-31T04:33:51.201Z,630448469154608799,Crona Group,Online Retail,76.00,2023-05-31T04:33:51.201Z
67616238528495568997#2023-06-29T07:37:19.770Z,67616238528495568997,Runte - Pfannerstill,Fashion,287.00,2023-06-29T07:37:19.770Z
3451-878281-52453#2023-06-03T02:08:17.803Z,3451-878281-52453,"Schaden, Turner and Durgan",Online Retail,2235.00,2023-06-03T02:08:17.803Z
6484-9834-3420-2031#2023-08-12T20:30:34.039Z,6484-9834-3420-2031,"Treutel, Heidenreich and Christiansen",Food & Drink,1665.00,2023-08-12T20:30:34.039Z
6011-1295-7947-5154#2023-07-22T14:43:58.334Z,6011-1295-7947-5154,"Pollich, Connelly and Cruickshank",Fashion,1738.00,2023-07-22T14:43:58.334Z
6011-5411-2459-7441#2023-05-03T04:46:37.513Z,6011-5411-2459-7441,Nikolaus - Roob,Transportation,545.00,2023-05-03T04:46:37.513Z
6767-4399-3423-9880-668#2023-04-24T03:44:49.561Z,6767-4399-3423-9880-668,DuBuque LLC,Transportation,1968.00,2023-04-24T03:44:49.561Z
6767-2294-5848-3307#2023-06-14T19:21:46.439Z,6767-2294-5848-3307,"Jacobs, Donnelly and VonRueden",Online Retail,866.00,2023-06-14T19:21:46.439Z
630463796243913263#2023-03-17T23:39:30.282Z,630463796243913263,Jacobs - Zemlak,Fashion,1700.00,2023-03-17T23:39:30.282Z
5438-0611-7520-2988#2023-11-15T03:34:52.211Z,5438-0611-7520-2988,Larkin and Sons,Fashion,2379.00,2023-11-15T03:34:52.211Z
5018-2021-9232-5570#2023-12-02T01:57:02.895Z,5018-2021-9232-5570,Miller and Sons,Online Retail,195.00,2023-12-02T01:57:02.895Z
677112624559084089#2023-12-05T21:50:06.632Z,677112624559084089,Shanahan - Collins,Groceries,2637.00,2023-12-05T21:50:06.632Z
6371-1428-9712-0554#2023-01-27T09:19:22.146Z,6371-1428-9712-0554,Cormier - Medhurst,Groceries,2803.00,2023-01-27T09:19:22.146Z
3023-700934-7537#2023-12-12T02:20:53.844Z,3023-700934-7537,Lehner - Miller,Food & Drink,745.00,2023-12-12T02:20:53.844Z
6767-2983-2289-9255-40#2023-12-08T05:43:25.116Z,6767-2983-2289-9255-40,"Friesen, Goodwin and Maggio",Groceries,2342.00,2023-12-08T05:43:25.116Z
670930649077221272#2023-11-02T00:57:08.315Z,670930649077221272,Frami LLC,Food & Drink,2904.00,2023-11-02T00:57:08.315Z
5385-1065-7116-5611#2023-01-26T20:41:52.507Z,5385-1065-7116-5611,"Boyle, Hirthe and Denesik",Transportation,1133.00,2023-01-26T20:41:52.507Z
6763-6020-3709-6093#2023-01-10T02:11:23.824Z,6763-6020-3709-6093,Miller - Bins,Online Retail,2828.00,2023-01-10T02:11:23.824Z
5473-3666-7080-4154#2023-03-19T16:31:48.762Z,5473-3666-7080-4154,"Conroy, Carroll and Yost",Fashion,2056.00,2023-03-19T16:31:48.762Z
6767-8561-3553-5960-06#2023-02-04T15:49:15.887Z,6767-8561-3553-5960-06,Gibson - Wunsch,Online Retail,2676.00,2023-02-04T15:49:15.887Z
5893357801787869323#2023-11-29T14:18:51.178Z,5893357801787869323,"O'Kon, Towne and Morissette",Transportation,2367.00,2023-11-29T14:18:51.178Z
5549-0242-4529-6972#2023-03-04T21:46:43.383Z,5549-0242-4529-6972,"Deckow, Olson and Bogisich",Food & Drink,338.00,2023-03-04T21:46:43.383Z
5020726204559400#2023-11-24T07:39:13.157Z,5020726204559400,"Jakubowski, Waters and Howell",Fashion,1229.00,2023-11-24T07:39:13.157Z
3528-4849-7959-1594#2023-11-02T01:27:32.354Z,3528-4849-7959-1594,Bernier - Streich,Online Retail,1683.00,2023-11-02T01:27:32.354Z
6767-7238-0186-4122#2023-11-22T10:58:18.791Z,6767-7238-0186-4122,"Mante, Dach and Kihn",Fashion,495.00,2023-11-22T10:58:18.791Z
3557-6877-8869-7204#2023-03-16T14:44:43.902Z,3557-6877-8869-7204,Senger LLC,Food & Drink,483.00,2023-03-16T14:44:43.902Z
5018-8489-0959-0326#2023-07-31T17:25:45.781Z,5018-8489-0959-0326,"Bernier, Hessel and Barrows",Food & Drink,2385.00,2023-07-31T17:25:45.781Z
5020041323266428861#2023-03-31T09:07:01.949Z,5020041323266428861,Blick and Sons,Fashion,2849.00,2023-03-31T09:07:01.949Z
67620173392700234161#2023-05-05T08:15:25.742Z,67620173392700234161,Hermiston - Kuvalis,Food & Drink,1865.00,2023-05-05T08:15:25.742Z
6767-6608-3556-7600-430#2023-07-24T16:16:20.137Z,6767-6608-3556-7600-430,Franey - Bailey,Groceries,485.00,2023-07-24T16:16:20.137Z
6759-3995-5267-7800-62#2023-11-26T19:14:17.963Z,6759-3995-5267-7800-62,"Bosco, Heathcote and Schultz",Groceries,1279.00,2023-11-26T19:14:17.963Z
3568-4048-4699-5985#2023-12-04T07:30:02.730Z,3568-4048-4699-5985,"Mann, Schumm and Kutch",Transportation,744.00,2023-12-04T07:30:02.730Z
3529-4490-8625-1902#2023-11-02T06:55:18.309Z,3529-4490-8625-1902,"Cronin, Borer and Langosh",Groceries,2772.00,2023-11-02T06:55:18.309Z
6759-6444-1321-2177-95#2023-04-04T07:55:21.464Z,6759-6444-1321-2177-95,"Anderson, Kautzer and Moore",Food & Drink,1187.00,2023-04-04T07:55:21.464Z
6304269240572355#2023-08-17T13:40:59.958Z,6304269240572355,"Dickens, White and Jacobson",Groceries,1394.00,2023-08-17T13:40:59.958Z
6372-7696-8863-0745#2023-10-21T21:07:46.786Z,6372-7696-8863-0745,"Emmerich, D'Amore and Walter",Online Retail,378.00,2023-10-21T21:07:46.786Z
3580-6955-4575-7014#2023-05-18T19:31:11.914Z,3580-6955-4575-7014,"Schmeler, Roob and Klocko",Online Retail,1441.00,2023-05-18T19:31:11.914Z
6771-8905-8783-3342#2023-09-30T02:32:58.218Z,6771-8905-8783-3342,Smitham Group,Fashion,218.00,2023-09-30T02:32:58.218Z
677163006064538965#2023-09-30T21:00:59.159Z,677163006064538965,Fadel Inc,Fashion,968.00,2023-09-30T21:00:59.159Z
4226051342704#2023-07-06T22:29:35.649Z,4226051342704,Rosenbaum LLC,Online Retail,1512.00,2023-07-06T22:29:35.649Z
3530-5572-6744-9884#2023-10-14T20:51:17.305Z,3530-5572-6744-9884,"Schaefer, Braun and Powlowski",Transportation,832.00,2023-10-14T20:51:17.305Z
5400-7577-4803-4329#2023-03-12T01:26:01.858Z,5400-7577-4803-4329,"Rutherford, Lind and Considine",Groceries,227.00,2023-03-12T01:26:01.858Z
6709530613057261#2023-09-12T01:22:54.137Z,6709530613057261,Lindgren - Kshlerin,Fashion,2880.00,2023-09-12T01:22:54.137Z
6771330779630403228#2023-05-13T04:05:02.072Z,6771330779630403228,Wolf - Schumm,Fashion,2333.00,2023-05-13T04:05:02.072Z
4558-4127-1617-1868#2023-12-18T15:42:56.403Z,4558-4127-1617-1868,"Wiza, Dare and Nicolas",Online Retail,1282.00,2023-12-18T15:42:56.403Z
5117-5036-9276-7751#2023-07-27T21:14:02.181Z,5117-5036-9276-7751,"Hyatt, Cole and Parker",Fashion,1991.00,2023-07-27T21:14:02.181Z
5410-5671-8057-3702#2023-12-27T07:20:16.634Z,5410-5671-8057-3702,"Schinner, Crona and Little",Transportation,2266.00,2023-12-27T07:20:16.634Z
6483-8008-0725-3097#2023-12-20T19:36:43.277Z,6483-8008-0725-3097,"Wunsch, Klocko and White",Groceries,1293.00,2023-12-20T19:36:43.277Z
5020041323266428861#2023-05-08T10:41:34.689Z,5020041323266428861,Kassulke - Klocko,Transportation,2229.00,2023-05-08T10:41:34.689Z
4259417020409#2023-09-09T11:02:38.407Z,4259417020409,"Wintheiser, Vandervort and Cormier",Fashion,2323.00,2023-09-09T11:02:38.407Z
677124898939680479#2023-09-26T19:23:47.932Z,677124898939680479,Walsh - Halvorson,Online Retail,1038.00,2023-09-26T19:23:47.932Z
3529-7912-7989-7797#2023-05-12T08:44:03.739Z,3529-7912-7989-7797,O'Kon Group,Groceries,1230.00,2023-05-12T08:44:03.739Z
4110813261255#2023-12-05T23:17:08.235Z,4110813261255,"Witting, Bogisich and Bosco",Fashion,2685.00,2023-12-05T23:17:08.235Z
6011-6241-4581-6049-4282#2023-05-02T10:42:49.284Z,6011-6241-4581-6049-4282,"Ratke, Larson and Ward",Groceries,1491.00,2023-05-02T10:42:49.284Z
6771-8906-5032-9293#2023-03-17T08:45:47.215Z,6771-8906-5032-9293,"Schuppe, Aufderhar and Homenick",Transportation,802.00,2023-03-17T08:45:47.215Z
5401-4599-9049-9560#2023-10-16T07:57:35.047Z,5401-4599-9049-9560,"Lang, Durgan and MacGyver",Groceries,1310.00,2023-10-16T07:57:35.047Z
5440-4432-6848-6940#2023-01-09T07:39:42.046Z,5440-4432-6848-6940,Rau Inc,Groceries,1745.00,2023-01-09T07:39:42.046Z
6759-3474-8277-8441#2023-05-21T07:38:34.908Z,6759-3474-8277-8441,Hamill - Koch,Fashion,1698.00,2023-05-21T07:38:34.908Z
6771-8948-0499-5694#2023-04-22T00:45:29.194Z,6771-8948-0499-5694,Yost - Denesik,Groceries,2401.00,2023-04-22T00:45:29.194Z
4680000923214#2023-10-14T00:22:37.468Z,4680000923214,Hirthe Group,Groceries,2004.00,2023-10-14T00:22:37.468Z
5467-4361-3550-7854#2023-03-29T04:15:25.648Z,5467-4361-3550-7854,Gusikowski - Kunde,Online Retail,1209.00,2023-03-29T04:15:25.648Z
6378-4209-2241-4827#2023-10-13T11:00:55.418Z,6378-4209-2241-4827,Dare - Stanton,Groceries,775.00,2023-10-13T11:00:55.418Z
6709976986221741747#2023-05-16T03:25:28.887Z,6709976986221741747,Langosh Inc,Groceries,2994.00,2023-05-16T03:25:28.887Z
3529-3194-9032-6188#2023-10-29T06:21:01.788Z,3529-3194-9032-6188,Rohan - Wolff,Transportation,2050.00,2023-10-29T06:21:01.788Z
6452-6216-9963-7751-8721#2023-08-20T20:49:35.037Z,6452-6216-9963-7751-8721,Kilback and Sons,Fashion,672.00,2023-08-20T20:49:35.037Z
6304196618310979#2023-10-08T11:13:09.327Z,6304196618310979,Haley Inc,Food & Drink,98.00,2023-10-08T11:13:09.327Z
5038-3031-1853-1956#2023-04-13T23:55:28.701Z,5038-3031-1853-1956,"Lebsack, Gutkowski and Hettinger",Transportation,2288.00,2023-04-13T23:55:28.701Z
4721025095156#2023-04-19T18:36:01.212Z,4721025095156,"Lindgren, Runolfsson and Walsh",Transportation,1414.00,2023-04-19T18:36:01.212Z
670946983298155676#2023-10-18T09:10:14.783Z,670946983298155676,Ondricka - Hodkiewicz,Groceries,1202.00,2023-10-18T09:10:14.783Z
6759-2607-9949-3689#2023-12-10T22:48:16.132Z,6759-2607-9949-3689,"Kohler, Dietrich and Jacobi",Transportation,676.00,2023-12-10T22:48:16.132Z
3528-7001-4267-4664#2023-11-15T22:37:58.702Z,3528-7001-4267-4664,Cummerata - Mueller,Fashion,575.00,2023-11-15T22:37:58.702Z
501845394108606545#2023-02-28T21:03:50.360Z,501845394108606545,Hansen - Keebler,Transportation,2288.00,2023-02-28T21:03:50.360Z
6386-9965-7161-7224#2023-08-09T06:32:38.714Z,6386-9965-7161-7224,Nicolas - Corkery,Fashion,801.00,2023-08-09T06:32:38.714Z
3562-8046-0278-2152#2023-05-12T08:37:43.917Z,3562-8046-0278-2152,Oberbrunner Inc,Transportation,187.00,2023-05-12T08:37:43.917Z
6593-6131-8745-0788#2023-09-27T14:32:07.011Z,6593-6131-8745-0788,Williamson Inc,Online Retail,1122.00,2023-09-27T14:32:07.011Z
6771-8914-7244-9046#2023-10-08T02:33:24.640Z,6771-8914-7244-9046,Lebsack and Sons,Groceries,68.00,2023-10-08T02:33:24.640Z
6771-8985-4702-0082#2023-06-09T06:12:14.103Z,6771-8985-4702-0082,Schroeder - Raynor,Groceries,186.00,2023-06-09T06:12:14.103Z
3579-9937-5317-8012#2023-06-14T07:35:32.412Z,3579-9937-5317-8012,Raynor Group,Fashion,898.00,2023-06-14T07:35:32.412Z
3562-8046-0278-2152#2023-04-21T15:48:15.327Z,3562-8046-0278-2152,Kub and Sons,Transportation,761.00,2023-04-21T15:48:15.327Z
3529-4490-8625-1902#2023-10-16T01:13:59.491Z,3529-4490-8625-1902,"Pouros, Murazik and Spinka",Online Retail,949.00,2023-10-16T01:13:59.491Z
5018-8603-5532-8747#2023-10-16T13:08:44.514Z,5018-8603-5532-8747,Koelpin and Sons,Food & Drink,1301.00,2023-10-16T13:08:44.514Z
677124898939680479#2023-07-10T04:19:41.725Z,677124898939680479,Weissnat - Cummings,Groceries,2300.00,2023-07-10T04:19:41.725Z
4226051342704#2023-01-19T14:40:54.016Z,4226051342704,Bauch LLC,Fashion,1162.00,2023-01-19T14:40:54.016Z
5433-9613-4199-6733#2023-03-07T23:15:42.562Z,5433-9613-4199-6733,"Ritchie, Sporer and Orn",Groceries,1901.00,2023-03-07T23:15:42.562Z
6011-4243-3365-3737#2023-05-09T15:46:26.057Z,6011-4243-3365-3737,"Witting, Hauck and Lindgren",Food & Drink,2501.00,2023-05-09T15:46:26.057Z
5467-4361-3550-7854#2023-04-20T11:48:21.703Z,5467-4361-3550-7854,Abshire - Rau,Transportation,385.00,2023-04-20T11:48:21.703Z
6767-2737-5254-5007-449#2023-09-25T09:04:58.052Z,6767-2737-5254-5007-449,"Kreiger, Grady and Berge",Online Retail,251.00,2023-09-25T09:04:58.052Z
3608-698114-0178#2023-09-01T23:02:11.631Z,3608-698114-0178,"Nienow, Herzog and Balistreri",Online Retail,2656.00,2023-09-01T23:02:11.631Z
5018-3716-4560-6249#2023-05-30T01:20:58.939Z,5018-3716-4560-6249,"Cassin, Hamill and Jerde",Fashion,1232.00,2023-05-30T01:20:58.939Z
5507-5942-8349-9662#2023-12-14T06:56:38.471Z,5507-5942-8349-9662,Romaguera and Sons,Food & Drink,732.00,2023-12-14T06:56:38.471Z
6771-8914-7244-9046#2023-10-28T18:19:37.648Z,6771-8914-7244-9046,Kozey - Hilpert,Groceries,2246.00,2023-10-28T18:19:37.648Z
676110171243349795#2023-03-02T16:27:21.259Z,676110171243349795,Will - Homenick,Fashion,538.00,2023-03-02T16:27:21.259Z
